Track Name,Album,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Intro,The College Dropout,2004-02-10,0.713,0.331,6,-13.909,1,0.877,0.237,0.0,0.51,0.463,87.491
We Don't Care,The College Dropout,2004-02-10,0.595,0.754,11,-5.827,0,0.181,0.0142,0.0,0.247,0.647,83.155
Graduation Day,The College Dropout,2004-02-10,0.418,0.447,0,-9.058,0,0.338,0.684,2.1e-06,0.414,0.869,169.336
All Falls Down,The College Dropout,2004-02-10,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03
I'll Fly Away,The College Dropout,2004-02-10,0.239,0.25,6,-11.414,1,0.0289,0.76,0.0,0.124,0.564,172.338
Spaceship,The College Dropout,2004-02-10,0.507,0.753,5,-5.31,0,0.19,0.503,0.0,0.573,0.657,178.068
Jesus Walks,The College Dropout,2004-02-10,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312
Never Let Me Down,The College Dropout,2004-02-10,0.459,0.816,11,-4.872,0,0.403,0.423,0.0,0.169,0.643,80.293
Get Em High,The College Dropout,2004-02-10,0.614,0.644,11,-5.672,0,0.373,0.184,0.0,0.489,0.649,84.788
Workout Plan,The College Dropout,2004-02-10,0.715,0.288,1,-13.843,1,0.925,0.785,0.0,0.688,0.772,115.114
The New Workout Plan,The College Dropout,2004-02-10,0.704,0.792,2,-4.831,1,0.198,0.00981,0.0,0.365,0.646,118.022
Slow Jamz,The College Dropout,2004-02-10,0.559,0.733,2,-5.659,0,0.171,0.314,0.0,0.284,0.611,145.115
Breathe In Breathe Out,The College Dropout,2004-02-10,0.636,0.7,1,-3.099,0,0.421,0.341,0.0,0.161,0.924,88.817
School Spirit Skit 1,The College Dropout,2004-02-10,0.648,0.218,8,-15.108,1,0.95,0.326,0.0,0.352,0.642,164.25
School Spirit,The College Dropout,2004-02-10,0.483,0.787,5,-5.422,0,0.21,0.339,0.0,0.236,0.592,84.81
School Spirit Skit 2,The College Dropout,2004-02-10,0.716,0.308,5,-12.629,1,0.925,0.334,0.0,0.215,0.83,128.412
Lil Jimmy Skit,The College Dropout,2004-02-10,0.64,0.279,10,-12.396,1,0.484,0.803,0.0,0.375,0.741,82.475
Two Words,The College Dropout,2004-02-10,0.442,0.807,6,-4.753,1,0.265,0.0158,6.43e-06,0.217,0.446,84.649
Through The Wire,The College Dropout,2004-02-10,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089
Family Business,The College Dropout,2004-02-10,0.744,0.524,1,-7.452,1,0.21,0.139,0.0,0.392,0.606,93.691
Last Call,The College Dropout,2004-02-10,0.473,0.727,8,-6.843,1,0.356,0.577,0.0,0.316,0.854,83.212
Wake Up Mr. West,Late Registration,2005-08-30,0.746,0.306,10,-9.765,1,0.93,0.817,0.0,0.0657,0.704,73.346
Heard 'Em Say,Late Registration,2005-08-30,0.744,0.696,7,-8.313,0,0.162,0.0535,0.0454,0.128,0.563,95.07
Touch The Sky,Late Registration,2005-08-30,0.552,0.846,9,-4.912,1,0.342,0.0114,0.0,0.309,0.554,98.56
Gold Digger,Late Registration,2005-08-30,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034
Skit #1,Late Registration,2005-08-30,0.825,0.307,10,-12.543,1,0.911,0.467,0.0,0.146,0.748,53.629
Drive Slow,Late Registration,2005-08-30,0.593,0.593,11,-8.216,1,0.289,0.0306,9.94e-06,0.229,0.488,81.291
My Way Home,Late Registration,2005-08-30,0.593,0.596,8,-10.488,1,0.0408,0.33,0.0,0.0976,0.776,86.965
Crack Music,Late Registration,2005-08-30,0.726,0.712,11,-6.288,0,0.209,0.00975,0.000477,0.345,0.554,168.121
Roses,Late Registration,2005-08-30,0.723,0.465,3,-6.454,0,0.0952,0.259,2.7e-05,0.108,0.513,97.702
Bring Me Down,Late Registration,2005-08-30,0.385,0.691,6,-6.919,0,0.0924,0.00592,0.0,0.595,0.352,111.278
Addiction,Late Registration,2005-08-30,0.504,0.756,1,-8.318,0,0.185,0.184,0.0,0.252,0.55,115.264
Skit #2,Late Registration,2005-08-30,0.731,0.412,11,-11.59,0,0.946,0.253,0.0,0.164,0.95,66.512
Diamonds From Sierra Leone - Remix,Late Registration,2005-08-30,0.672,0.814,7,-3.768,1,0.27,0.258,0.0,0.164,0.379,97.043
We Major,Late Registration,2005-08-30,0.234,0.88,11,-3.66,0,0.123,0.0107,0.0,0.045,0.216,85.641
Skit #3,Late Registration,2005-08-30,0.64,0.451,7,-11.984,1,0.956,0.599,0.0,0.467,0.6,166.546
Hey Mama,Late Registration,2005-08-30,0.583,0.754,7,-6.993,1,0.223,0.0593,0.0,0.113,0.347,95.784
Celebration,Late Registration,2005-08-30,0.295,0.776,10,-4.199,1,0.213,0.0164,1.41e-06,0.118,0.35,79.992
Skit #4,Late Registration,2005-08-30,0.722,0.258,10,-19.633,0,0.873,0.0411,0.0,0.148,0.141,118.732
Gone,Late Registration,2005-08-30,0.842,0.668,1,-6.043,1,0.26,0.015,0.0,0.0699,0.345,92.703
Diamonds From Sierra Leone - Bonus Track,Late Registration,2005-08-30,0.435,0.846,7,-3.458,1,0.263,0.148,0.0,0.306,0.57,100.771
Late,Late Registration,2005-08-30,0.334,0.843,10,-5.928,0,0.173,0.197,3.95e-06,0.295,0.616,75.281
Good Morning,Graduation,2007-09-11,0.48,0.631,7,-5.488,1,0.116,0.0791,0.000105,0.149,0.515,84.164
Champion,Graduation,2007-09-11,0.693,0.504,6,-8.306,1,0.238,0.00299,0.0,0.695,0.723,102.139
Stronger,Graduation,2007-09-11,0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992
I Wonder,Graduation,2007-09-11,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385
Good Life,Graduation,2007-09-11,0.439,0.808,1,-6.881,1,0.346,0.00305,0.0,0.439,0.487,82.962
Can't Tell Me Nothing,Graduation,2007-09-11,0.596,0.62,5,-6.133,0,0.039,0.0122,0.0,0.82,0.102,80.029
Barry Bonds,Graduation,2007-09-11,0.48,0.624,1,-6.131,1,0.382,0.0451,0.0,0.337,0.704,165.057
Drunk and Hot Girls,Graduation,2007-09-11,0.661,0.442,10,-7.297,0,0.0285,0.0697,1.15e-05,0.136,0.299,82.758
Flashing Lights,Graduation,2007-09-11,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482
Everything I Am,Graduation,2007-09-11,0.631,0.623,8,-6.969,1,0.265,0.463,1.7e-06,0.151,0.765,80.23
The Glory,Graduation,2007-09-11,0.423,0.643,6,-7.261,1,0.287,0.0455,0.0,0.172,0.708,84.336
Homecoming,Graduation,2007-09-11,0.667,0.747,1,-7.059,1,0.189,0.337,0.0,0.115,0.918,86.917
Big Brother,Graduation,2007-09-11,0.498,0.742,11,-6.248,0,0.259,0.214,0.0,0.0642,0.302,78.428
Good Night,Graduation,2007-09-11,0.696,0.526,11,-10.504,0,0.171,0.177,0.0,0.192,0.703,88.931
Say You Will,808s & Heartbreak,2008-11-24,0.603,0.401,0,-10.155,0,0.0306,0.542,0.225,0.103,0.347,172.633
Welcome To Heartbreak,808s & Heartbreak,2008-11-24,0.677,0.435,7,-11.024,0,0.033,0.0985,0.721,0.111,0.0729,95.991
Heartless,808s & Heartbreak,2008-11-24,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999
Amazing,808s & Heartbreak,2008-11-24,0.588,0.554,8,-8.406,1,0.0545,0.216,0.118,0.0619,0.496,146.133
Love Lockdown,808s & Heartbreak,2008-11-24,0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603
Paranoid,808s & Heartbreak,2008-11-24,0.587,0.611,6,-7.408,1,0.106,0.114,9.83e-05,0.0765,0.464,114.991
RoboCop,808s & Heartbreak,2008-11-24,0.698,0.447,5,-8.04,0,0.102,0.157,0.00564,0.405,0.407,133.776
Street Lights,808s & Heartbreak,2008-11-24,0.644,0.487,6,-9.654,1,0.034,0.0287,0.0166,0.206,0.467,125.528
Bad News,808s & Heartbreak,2008-11-24,0.749,0.436,9,-11.99,1,0.0393,0.0288,0.201,0.114,0.167,106.171
See You In My Nightmares,808s & Heartbreak,2008-11-24,0.676,0.432,7,-8.035,0,0.0339,0.0626,0.0,0.103,0.156,124.597
Coldest Winter,808s & Heartbreak,2008-11-24,0.761,0.516,0,-10.229,1,0.044,0.171,3.21e-06,0.265,0.562,133.999
Pinocchio Story,808s & Heartbreak,2008-11-24,0.341,0.281,10,-13.204,0,0.0501,0.95,0.0,0.948,0.306,74.997
Dark Fantasy,My Beautiful Dark Twisted Fantasy,2010-11-22,0.599,0.587,5,-5.919,1,0.0423,0.274,0.0,0.167,0.373,87.998
Gorgeous,My Beautiful Dark Twisted Fantasy,2010-11-22,0.598,0.713,6,-3.625,0,0.0326,0.0207,0.000175,0.431,0.118,91.964
POWER,My Beautiful Dark Twisted Fantasy,2010-11-22,0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993
All Of The Lights (Interlude),My Beautiful Dark Twisted Fantasy,2010-11-22,0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95
All Of The Lights,My Beautiful Dark Twisted Fantasy,2010-11-22,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113
Monster,My Beautiful Dark Twisted Fantasy,2010-11-22,0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887
So Appalled,My Beautiful Dark Twisted Fantasy,2010-11-22,0.64,0.754,1,-5.873,0,0.283,0.255,0.0,0.63,0.584,87.15
Devil In A New Dress,My Beautiful Dark Twisted Fantasy,2010-11-22,0.435,0.76,8,-4.935,0,0.0721,0.0175,0.0,0.158,0.206,80.082
Runaway,My Beautiful Dark Twisted Fantasy,2010-11-22,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733
Hell Of A Life,My Beautiful Dark Twisted Fantasy,2010-11-22,0.449,0.813,8,-5.478,1,0.129,0.00142,0.000172,0.106,0.452,177.962
Blame Game,My Beautiful Dark Twisted Fantasy,2010-11-22,0.419,0.581,10,-5.964,0,0.0688,0.306,6.3e-05,0.11,0.636,80.305
Lost In The World,My Beautiful Dark Twisted Fantasy,2010-11-22,0.608,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072
Who Will Survive In America,My Beautiful Dark Twisted Fantasy,2010-11-22,0.677,0.842,1,-6.111,1,0.36,0.228,0.000684,0.856,0.595,116.166
On Sight,Yeezus,2013-06-18,0.605,0.469,9,-3.182,0,0.327,0.487,0.0,0.28,0.515,101.601
Black Skinhead,Yeezus,2013-06-18,0.766,0.809,1,-6.123,1,0.279,0.0011,0.0,0.168,0.325,130.127
I Am A God,Yeezus,2013-06-18,0.51,0.532,4,-7.405,0,0.0715,0.0367,0.000794,0.165,0.305,111.885
New Slaves,Yeezus,2013-06-18,0.506,0.59,1,-4.322,1,0.076,0.165,1.09e-05,0.096,0.359,141.099
Hold My Liquor,Yeezus,2013-06-18,0.497,0.322,8,-10.358,1,0.0333,0.0194,7.72e-06,0.115,0.04,106.976
I'm In It,Yeezus,2013-06-18,0.485,0.604,1,-4.591,1,0.345,0.141,0.0,0.0668,0.45,170.337
Blood On The Leaves,Yeezus,2013-06-18,0.397,0.69,2,-4.108,0,0.195,0.395,0.0,0.101,0.36,172.073
Guilt Trip,Yeezus,2013-06-18,0.439,0.666,4,-6.078,0,0.0754,0.159,9.56e-06,0.129,0.579,137.9
Send It Up,Yeezus,2013-06-18,0.579,0.544,9,-5.193,1,0.352,0.292,7.41e-05,0.282,0.365,93.562
Bound 2,Yeezus,2013-06-18,0.367,0.665,1,-2.821,1,0.0465,0.145,0.0,0.113,0.31,148.913
No Church In The Wild,Watch The Throne (Deluxe),2011-08-08,0.654,0.75,8,-7.509,0,0.105,0.246,0.0178,0.167,0.557,92.78
Lift Off,Watch The Throne (Deluxe),2011-08-08,0.404,0.784,2,-7.584,0,0.123,0.188,0.00178,0.165,0.289,179.439
Ni**as In Paris,Watch The Throne (Deluxe),2011-08-08,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022
Otis,Watch The Throne (Deluxe),2011-08-08,0.754,0.631,7,-4.751,0,0.307,0.552,0.0,0.5,0.432,94.577
Gotta Have It,Watch The Throne (Deluxe),2011-08-08,0.74,0.574,4,-6.938,1,0.245,0.411,0.0,0.262,0.33,149.762
New Day,Watch The Throne (Deluxe),2011-08-08,0.561,0.645,10,-6.808,0,0.0707,0.388,7.43e-05,0.142,0.36,91.012
That's My Bitch,Watch The Throne (Deluxe),2011-08-08,0.744,0.871,7,-6.291,1,0.114,0.237,0.000287,0.121,0.497,108.982
Welcome To The Jungle,Watch The Throne (Deluxe),2011-08-08,0.636,0.93,2,-5.179,1,0.364,0.0128,3.7e-06,0.18,0.325,92.899
Who Gon Stop Me,Watch The Throne (Deluxe),2011-08-08,0.593,0.73,0,-4.638,0,0.159,0.0408,0.000156,0.715,0.377,133.879
Ultralight Beam,The Life Of Pablo,2016-06-10,0.592,0.403,0,-8.768,0,0.414,0.62,0.0,0.54,0.391,105.169
Father Stretch My Hands Pt. 1,The Life Of Pablo,2016-06-10,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088
Pt. 2,The Life Of Pablo,2016-06-10,0.674,0.752,11,-4.073,1,0.333,0.552,0.0,0.787,0.236,145.076
Famous,The Life Of Pablo,2016-06-10,0.465,0.735,6,-3.715,1,0.117,0.0711,0.0,0.0975,0.409,173.935
Feedback,The Life Of Pablo,2016-06-10,0.811,0.566,8,-6.033,0,0.517,0.563,0.0,0.104,0.169,100.224
Low Lights,The Life Of Pablo,2016-06-10,0.603,0.593,7,-4.685,1,0.109,0.706,0.0,0.121,0.523,101.956
Highlights,The Life Of Pablo,2016-06-10,0.547,0.626,2,-6.244,1,0.208,0.00572,0.0,0.313,0.346,101.971
Freestyle 4,The Life Of Pablo,2016-06-10,0.564,0.537,9,-8.381,0,0.095,0.0449,0.0,0.0907,0.459,126.036
I Love Kanye,The Life Of Pablo,2016-06-10,0.756,0.374,5,-7.966,1,0.741,0.594,0.0,0.217,0.966,80.326
Waves,The Life Of Pablo,2016-06-10,0.557,0.586,10,-4.57,1,0.0382,0.0528,7.33e-06,0.339,0.0681,96.091
FML,The Life Of Pablo,2016-06-10,0.527,0.415,5,-7.184,1,0.131,0.329,0.0,0.195,0.12,125.357
Real Friends,The Life Of Pablo,2016-06-10,0.441,0.744,6,-6.248,0,0.476,0.262,0.000382,0.138,0.124,81.396
Wolves,The Life Of Pablo,2016-06-10,0.395,0.392,1,-8.034,1,0.0925,0.219,0.00173,0.134,0.103,155.856
Frank's Track,The Life Of Pablo,2016-06-10,0.655,0.179,11,-6.903,1,0.0722,0.976,0.0,0.105,0.758,140.687
Siiiiiiiiilver Surffffeeeeer Intermission,The Life Of Pablo,2016-06-10,0.788,0.409,9,-11.917,1,0.881,0.982,0.000203,0.11,0.925,72.623
30 Hours,The Life Of Pablo,2016-06-10,0.823,0.813,7,-6.71,1,0.288,0.0359,0.0,0.0886,0.373,95.012
No More Parties In LA,The Life Of Pablo,2016-06-10,0.508,0.921,5,-1.644,1,0.303,0.246,0.0,0.221,0.681,93.058
Facts (Charlie Heat Version),The Life Of Pablo,2016-06-10,0.777,0.662,1,-3.761,0,0.143,0.0518,0.0,0.168,0.4,142.059
Fade,The Life Of Pablo,2016-06-10,0.752,0.765,9,-5.805,0,0.0908,0.118,0.0,0.31,0.309,105.998
Saint Pablo,The Life Of Pablo,2016-06-10,0.461,0.772,2,-3.98,0,0.375,0.282,0.0,0.178,0.414,167.018
I Thought About Killing You,ye,2018-06-01,0.752,0.396,2,-7.932,1,0.411,0.867,0.0,0.0486,0.417,116.016
Yikes,ye,2018-06-01,0.683,0.776,1,-3.251,0,0.341,0.15,0.0,0.227,0.223,173.996
All Mine,ye,2018-06-01,0.925,0.31,11,-6.531,0,0.291,0.123,0.0,0.0931,0.291,121.927
Wouldn't Leave,ye,2018-06-01,0.556,0.432,3,-8.551,1,0.545,0.495,0.0,0.308,0.352,164.235
No Mistakes,ye,2018-06-01,0.643,0.646,10,-2.442,0,0.0629,0.0393,0.0,0.109,0.35,80.174
Ghost Town,ye,2018-06-01,0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378
Violent Crimes,ye,2018-06-01,0.669,0.419,1,-6.724,0,0.522,0.376,0.0,0.187,0.0397,109.813
Every Hour,JESUS IS KING,2019-10-25,0.588,0.793,7,-6.23,1,0.0794,0.466,0.000647,0.913,0.694,76.997
Selah,JESUS IS KING,2019-10-25,0.482,0.618,9,-5.673,0,0.197,0.647,0.000859,0.32,0.146,90.076
Follow God,JESUS IS KING,2019-10-25,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291
Closed On Sunday,JESUS IS KING,2019-10-25,0.799,0.291,11,-7.353,0,0.0318,0.873,0.000641,0.139,0.406,97.984
On God,JESUS IS KING,2019-10-25,0.41,0.886,9,-4.413,0,0.155,0.0671,0.0,0.461,0.393,72.577
Everything We Need,JESUS IS KING,2019-10-25,0.894,0.416,9,-6.823,0,0.0538,0.312,0.0,0.146,0.463,116.96
Water,JESUS IS KING,2019-10-25,0.505,0.281,2,-12.404,1,0.1,0.57,0.000254,0.163,0.283,82.338
God Is,JESUS IS KING,2019-10-25,0.656,0.637,1,-3.867,1,0.0256,0.34,0.0,0.187,0.267,105.037
Hands On,JESUS IS KING,2019-10-25,0.514,0.393,1,-8.72,0,0.529,0.558,0.0,0.282,0.598,78.039
Use This Gospel,JESUS IS KING,2019-10-25,0.611,0.459,0,-3.926,0,0.0422,0.614,0.0,0.126,0.177,148.28
Jesus Is Lord,JESUS IS KING,2019-10-25,0.243,0.26,4,-5.876,0,0.0305,0.828,4.03e-05,0.532,0.327,76.61
Donda Chant,Donda (Deluxe),2021-11-14,0.717,0.0503,4,-15.204,1,0.606,0.00505,1.41e-06,0.097,0.166,109.916
Hurricane,Donda (Deluxe),2021-11-14,0.388,0.568,9,-6.549,0,0.224,0.0456,0.0,0.0918,0.394,78.342
Moon,Donda (Deluxe),2021-11-14,0.443,0.236,5,-9.643,1,0.03,0.898,1.45e-05,0.271,0.256,66.296
Life Of The Party (with André 3000),Donda (Deluxe),2021-11-14,0.502,0.714,2,-6.668,1,0.257,0.138,0.0,0.97,0.305,79.136
Off The Grid,Donda (Deluxe),2021-11-14,0.57,0.644,8,-5.589,1,0.34,0.044,0.0,0.137,0.662,137.574
Jail,Donda (Deluxe),2021-11-14,0.457,0.572,4,-6.739,1,0.0971,0.539,0.000277,0.0843,0.587,109.993
Praise God,Donda (Deluxe),2021-11-14,0.801,0.558,1,-6.443,1,0.153,0.00873,9.51e-05,0.248,0.227,118.064
Come to Life,Donda (Deluxe),2021-11-14,0.421,0.502,3,-6.35,1,0.0306,0.664,3.29e-06,0.381,0.291,126.904
Believe What I Say,Donda (Deluxe),2021-11-14,0.643,0.638,7,-7.929,1,0.24,0.147,0.0,0.467,0.383,99.989
No Child Left Behind,Donda (Deluxe),2021-11-14,0.135,0.327,1,-8.059,0,0.0336,0.00632,0.786,0.138,0.0802,147.168
Up From The Ashes,Donda (Deluxe),2021-11-14,0.407,0.261,2,-10.829,0,0.0348,0.801,0.0,0.204,0.339,143.214
Remote Control pt 2,Donda (Deluxe),2021-11-14,0.778,0.443,4,-8.638,1,0.0681,0.125,0.000162,0.126,0.122,109.967
God Breathed,Donda (Deluxe),2021-11-14,0.341,0.311,10,-7.482,1,0.0429,0.291,6.35e-05,0.11,0.0794,96.959
Lord I Need You,Donda (Deluxe),2021-11-14,0.72,0.426,1,-7.274,0,0.311,0.143,0.0,0.535,0.201,83.06
24,Donda (Deluxe),2021-11-14,0.424,0.534,5,-6.086,0,0.0384,0.129,0.0,0.352,0.344,111.189
Junya,Donda (Deluxe),2021-11-14,0.756,0.69,7,-3.948,1,0.0639,0.27,0.0,0.303,0.399,148.092
Never Abandon Your Family,Donda (Deluxe),2021-11-14,0.524,0.38,6,-9.048,0,0.371,0.677,0.0,0.759,0.248,90.264
Donda,Donda (Deluxe),2021-11-14,0.579,0.491,10,-7.934,1,0.0525,0.846,0.0,0.192,0.461,82.769
Keep My Spirit Alive,Donda (Deluxe),2021-11-14,0.492,0.646,0,-6.595,1,0.363,0.239,0.000148,0.194,0.0762,166.468
Jesus Lord pt 2,Donda (Deluxe),2021-11-14,0.408,0.734,1,-6.633,1,0.17,0.0818,0.00761,0.1,0.116,82.44
Heaven and Hell,Donda (Deluxe),2021-11-14,0.76,0.422,0,-7.265,0,0.129,0.0409,0.0,0.152,0.271,82.965
Remote Control,Donda (Deluxe),2021-11-14,0.792,0.547,4,-7.079,1,0.0823,0.0784,6.83e-05,0.168,0.196,110.117
Tell The Vision,Donda (Deluxe),2021-11-14,0.701,0.444,7,-10.814,0,0.0443,0.22,0.0,0.104,0.198,144.023
Jonah,Donda (Deluxe),2021-11-14,0.51,0.428,2,-8.455,0,0.233,0.785,0.0,0.274,0.112,84.272
Pure Souls,Donda (Deluxe),2021-11-14,0.384,0.531,5,-6.965,1,0.0452,0.117,0.0,0.249,0.237,97.153
Ok Ok,Donda (Deluxe),2021-11-14,0.729,0.464,11,-9.185,0,0.398,0.363,0.0,0.129,0.27,107.819
New Again,Donda (Deluxe),2021-11-14,0.594,0.669,6,-4.683,0,0.202,0.0573,0.0,0.409,0.263,91.371
Jesus Lord,Donda (Deluxe),2021-11-14,0.495,0.724,8,-6.762,1,0.0858,0.115,0.00384,0.0839,0.118,108.817
Ok Ok pt 2,Donda (Deluxe),2021-11-14,0.815,0.422,11,-9.499,0,0.429,0.496,2.78e-06,0.113,0.378,107.842
Junya pt 2,Donda (Deluxe),2021-11-14,0.753,0.764,7,-3.747,1,0.0714,0.322,0.0,0.278,0.258,148.068
Jail pt 2,Donda (Deluxe),2021-11-14,0.691,0.571,4,-6.412,1,0.0571,0.452,0.0,0.154,0.69,110.023
Keep My Spirit Alive pt 2,Donda (Deluxe),2021-11-14,0.477,0.65,0,-6.574,1,0.311,0.209,0.000247,0.155,0.072,166.589
No Church In The Wild,Watch The Throne (Deluxe),2011-08-08,0.654,0.75,8,-7.509,0,0.105,0.246,0.0178,0.167,0.557,92.78
Feel The Love,KIDS SEE GHOSTS,2018-06-08,0.58,0.469,0,-5.946,0,0.104,0.126,7.32e-05,0.099,0.369,110.573
Fire,KIDS SEE GHOSTS,2018-06-08,0.709,0.751,6,-3.801,1,0.16,0.472,4.71e-06,0.182,0.37,104.999
4th Dimension,KIDS SEE GHOSTS,2018-06-08,0.765,0.542,1,-6.755,1,0.39,0.278,1.87e-05,0.609,0.734,171.945
Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS,2018-06-08,0.334,0.81,9,-4.855,0,0.0632,0.00457,0.0,0.158,0.306,151.643
Reborn,KIDS SEE GHOSTS,2018-06-08,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051
Kids See Ghosts,KIDS SEE GHOSTS,2018-06-08,0.841,0.682,2,-7.007,1,0.0458,0.113,9.65e-05,0.131,0.338,94.985
Cudi Montage,KIDS SEE GHOSTS,2018-06-08,0.729,0.504,8,-6.784,0,0.0321,0.401,1.44e-06,0.121,0.305,110.011
To The World,Kanye West Presents Good Music Cruel Summer,2012-01-01,0.537,0.572,4,-8.168,1,0.263,0.198,0.0,0.0962,0.452,141.983
Clique,Kanye West Presents Good Music Cruel Summer,2012-01-01,0.66,0.539,9,-5.947,0,0.324,0.0534,0.0,0.222,0.307,109.318
Mercy,Kanye West Presents Good Music Cruel Summer,2012-01-01,0.556,0.644,6,-5.805,0,0.402,0.0558,2.32e-05,0.35,0.499,140.009
New God Flow,Kanye West Presents Good Music Cruel Summer,2012-01-01,0.438,0.946,3,-3.499,0,0.463,0.438,0.0,0.65,0.435,174.01
Cold,Kanye West Presents Good Music Cruel Summer,2012-01-01,0.435,0.885,4,-4.143,0,0.132,0.00728,0.0,0.21,0.536,106.706
The One,Kanye West Presents Good Music Cruel Summer,2012-01-01,0.529,0.758,9,-5.297,1,0.148,0.0446,0.0,0.105,0.252,140.692
Don't Like,Kanye West Presents Good Music Cruel Summer,2012-01-01,0.656,0.612,6,-5.415,0,0.225,0.0094,0.0,0.146,0.626,132.072
Murder To Excellence,Watch The Throne (Deluxe),2011-08-08,0.566,0.815,1,-4.741,1,0.321,0.0242,0.0,0.0804,0.576,87.353
Made In America,Watch The Throne (Deluxe),2011-08-08,0.705,0.729,11,-7.01,0,0.221,0.0428,5.86e-05,0.224,0.549,165.901
Why I Love You,Watch The Throne (Deluxe),2011-08-08,0.48,0.808,5,-4.133,1,0.0423,0.0259,0.0,0.269,0.37,123.387
Illest Motherf**ker Alive,Watch The Throne (Deluxe),2011-08-08,0.537,0.663,11,-6.412,1,0.0949,0.172,1.58e-06,0.607,0.295,139.979
H•A•M,Watch The Throne (Deluxe),2011-08-08,0.657,0.524,8,-4.907,1,0.061,0.0462,0.0,0.322,0.0383,140.021
Primetime,Watch The Throne (Deluxe),2011-08-08,0.662,0.923,11,-4.085,0,0.21,0.166,1.01e-05,0.311,0.47,84.99
The Joy,Watch The Throne (Deluxe),2011-08-08,0.555,0.516,7,-6.256,1,0.331,0.146,3.09e-05,0.139,0.327,79.61
